code,name,source
sz000570,苏常柴Ａ,auto_双阴
sz000586,汇源通信,auto_双阴
sz000591,太阳能,auto_一阴
sz000597,东北制药,auto_双阴
sz000719,中原传媒,auto_双阴
sz000762,西藏矿业,auto_双阴
sz000889,中嘉博创,auto_双阴
sz000890,法尔胜,auto_双阴
sz000919,金陵药业,auto_双阴
sz000951,中国重汽,auto_双阴
sz000989,九芝堂,auto_双阴
sz000990,诚志股份,auto_双阴
sz001367,海森药业,auto_双阴
sz002031,巨轮智能,auto_一阴
sz002033,丽江股份,auto_双阴
sz002107,沃华医药,auto_双阴
sz002263,大东南,auto_双阴
sz002333,罗普斯金,auto_双阴
sz002349,精华制药,auto_双阴
sz002418,康盛股份,auto_双阴
sz002565,顺灏股份,auto_双阴
sz002578,闽发铝业,auto_双阴
sz002675,东诚药业,auto_双阴
sz002752,昇兴股份,auto_双阴
sz002802,洪汇新材,auto_双阴
sh600010,包钢股份,auto_双阴
sh600076,康欣新材,auto_一阴
sh600103,青山纸业,auto_双阴
sh600166,福田汽车,auto_双阴
sh600351,亚宝药业,auto_双阴
sh600356,恒丰纸业,auto_双阴
sh600502,安徽建工,auto_双阴
sh600528,中铁工业,auto_双阴
sh600530,交大昂立,auto_一阴
sh600548,深高速,auto_双阴
sh600572,康恩贝,auto_双阴
sh600664,哈药股份,auto_双阴
sh600666,奥瑞德,auto_双阴
sh600768,宁波富邦,auto_双阴
sh600867,通化东宝,auto_双阴
sh600894,广日股份,auto_双阴
sh600955,维远股份,auto_双阴
sh601199,江南水务,auto_一阴
sh603016,新宏泰,auto_双阴
sh603387,基蛋生物,auto_双阴
sh603558,健盛集团,auto_双阴
sh603803,瑞斯康达,auto_双阴
sh603819,神力股份,auto_双阴
sh605089,味知香,auto_双阴
sh605319,无锡振华,auto_双阴
